Kod,Home,Away,MS,1,0,2,Alt,Ust
401,Pendikspor,Gençlerbirliği,0 - 1,4.70,3.70,1.30,-,-
402,Amed Sportif,Keçiörengücü,2 - 1,1.90,3.00,2.55,-,-
403,24 Erzincanspor,Malatyaspor,2 - 1,6.00,4.00,1.20,-,-
404,Bandırmaspor,Sancaktepe Bld.Spor,1 - 1,1.40,3.60,3.90,-,-
405,Kızılcabölükspor,Kocaeli Birlik,1 - 1,2.75,3.00,1.80,-,-
406,Elazığspor,Ofspor,1 - 1,1.30,3.50,5.00,-,-
407,Panthrakikos,Kalithea,3 - 0,1.50,3.30,4.30,-,-
408,Gaziantepspor,Düzyurtspor,1 - 0,1.05,5.50,8.50,-,-
409,Pacos Ferreira,Nacional Madeira,4 - 0,1.90,3.00,2.90,-,-
410,Rizespor,Fethiyespor,3 - 0,1.15,4.50,6.00,-,-
411,Dynamo Dresden,Bielefeld,0 - 1,1.70,3.10,3.50,1.60,1.75
412,Freiburg,Sandhausen,6 - 7,1.40,3.50,5.00,1.65,1.70
413,SF Lotte,Leverkusen,1 - 1,8.00,4.30,1.20,2.30,1.30
414,Wurzburger Kickers,1860 Münih,0 - 0,1.90,3.00,2.90,1.50,1.85
415,Aek,Kerkyra,4 - 0,1.10,5.50,10.00,-,-
418,Laval,Montpellier,0 - 2,2.80,2.90,2.00,1.50,1.85
419,Wiener Neustadt,Admira Wacker,1 - 3,3.20,3.20,1.75,-,-
420,Orgryte,Frej,2 - 1,1.60,3.30,3.60,-,-